ammo,blast_strength,can_kick,entity_0,entity_1,entity_2,entity_3,entity_4,entity_5,entity_6,entity_7,entity_8,action
0,3,False,rigid,wooden,passage,passage,self,rigid,passage,passage,passage,0
0,3,False,rigid,wooden,passage,passage,self,rigid,passage,passage,passage,0
0,3,False,rigid,wooden,passage,passage,self,rigid,passage,passage,passage,0
1,3,False,rigid,wooden,passage,passage,self,rigid,passage,flame,flame,5
0,3,False,rigid,wooden,passage,passage,bomb,rigid,passage,flame,flame,0
0,3,False,rigid,wooden,passage,passage,self,rigid,passage,flame,flame,0
0,3,False,rigid,wooden,passage,passage,self,rigid,passage,passage,passage,3
0,3,False,passage,rigid,wooden,rigid,self,bomb,wooden,passage,passage,2
0,3,False,rigid,passage,bomb,wooden,self,passage,passage,rigid,passage,0
0,3,False,rigid,passage,bomb,wooden,self,passage,passage,rigid,passage,0
0,3,False,rigid,passage,bomb,wooden,self,passage,passage,rigid,passage,0
0,3,False,rigid,passage,bomb,wooden,self,passage,passage,rigid,passage,0
0,3,False,rigid,passage,bomb,wooden,self,passage,passage,rigid,passage,0
1,3,False,rigid,flame,flame,wooden,self,flame,passage,rigid,flame,0
1,3,False,rigid,flame,flame,wooden,self,flame,passage,rigid,flame,0
1,3,False,rigid,flame,flame,wooden,self,flame,passage,rigid,flame,0
1,3,False,rigid,passage,passage,wooden,self,passage,passage,rigid,passage,5
0,3,False,rigid,passage,passage,wooden,bomb,passage,passage,rigid,passage,4
0,3,False,passage,passage,rigid,bomb,self,passage,rigid,passage,passage,2
0,3,False,bomb,passage,passage,rigid,self,passage,wooden,passage,passage,2
0,3,False,rigid,passage,passage,wooden,self,passage,wooden,wooden,rigid,0
0,3,False,rigid,passage,passage,wooden,self,passage,wooden,wooden,rigid,0
0,3,False,rigid,passage,passage,wooden,self,passage,wooden,wooden,rigid,0
0,3,False,rigid,passage,passage,wooden,self,passage,wooden,wooden,rigid,0
0,3,False,rigid,passage,passage,wooden,self,passage,wooden,wooden,rigid,0
0,3,False,rigid,passage,passage,wooden,self,passage,wooden,wooden,rigid,0
1,3,False,rigid,passage,passage,wooden,self,passage,wooden,wooden,rigid,5
0,3,False,rigid,passage,passage,wooden,bomb,passage,wooden,wooden,rigid,4
0,3,False,passage,passage,passage,bomb,self,passage,wooden,rigid,rigid,4
0,3,False,passage,passage,rigid,passage,self,rigid,rigid,rigid,passage,1
0,3,False,passage,passage,passage,passage,self,rigid,passage,passage,rigid,3
0,3,False,passage,passage,passage,passage,self,passage,bomb,passage,passage,1
0,3,False,passage,rigid,passage,passage,self,passage,passage,passage,passage,4
0,3,False,rigid,passage,wooden,passage,self,passage,passage,passage,rigid,1
0,3,False,passage,wooden,rigid,rigid,self,wooden,passage,passage,passage,0
0,3,False,passage,wooden,rigid,rigid,self,wooden,passage,passage,passage,0
1,3,False,passage,wooden,rigid,rigid,self,wooden,passage,passage,passage,5
0,3,False,passage,wooden,rigid,rigid,bomb,wooden,passage,passage,passage,2
0,3,False,rigid,bomb,wooden,passage,self,passage,passage,passage,rigid,2
0,3,False,passage,passage,passage,passage,self,rigid,passage,passage,rigid,3
0,3,False,passage,passage,passage,passage,self,passage,passage,passage,passage,3
0,3,False,passage,passage,passage,rigid,self,passage,item,passage,passage,2
0,3,False,rigid,passage,passage,item,self,passage,wooden,item,rigid,3
0,3,False,rigid,passage,passage,item,self,passage,wooden,item,rigid,2
0,3,True,enemy,passage,passage,wooden,self,rigid,outside,outside,outside,1
0,3,True,rigid,passage,passage,enemy,self,passage,wooden,passage,rigid,1
1,3,True,passage,passage,passage,rigid,self,passage,bomb,passage,passage,1
1,3,True,passage,passage,rigid,passage,self,passage,rigid,passage,passage,1
1,3,True,rigid,passage,passage,passage,self,rigid,passage,passage,passage,1
1,3,True,passage,wooden,rigid,rigid,self,passage,passage,passage,rigid,4
1,3,True,wooden,rigid,wooden,passage,self,item,passage,rigid,passage,4
1,3,True,rigid,wooden,wooden,passage,self,rigid,rigid,passage,passage,5
0,3,True,rigid,wooden,wooden,passage,bomb,rigid,rigid,passage,passage,3
0,3,True,wooden,rigid,wooden,passage,self,bomb,passage,rigid,passage,3
0,3,True,passage,wooden,rigid,rigid,self,passage,passage,passage,rigid,2
0,3,True,rigid,passage,passage,passage,self,rigid,passage,passage,passage,3
0,3,True,passage,rigid,passage,rigid,self,passage,passage,passage,passage,2
0,3,True,rigid,passage,passage,passage,self,passage,passage,rigid,passage,3
0,3,True,passage,rigid,passage,wooden,self,passage,rigid,passage,rigid,2
0,3,True,wooden,passage,passage,rigid,self,rigid,passage,passage,passage,1
0,3,True,passage,rigid,passage,wooden,self,passage,rigid,passage,rigid,0
1,3,True,passage,rigid,passage,wooden,self,passage,rigid,passage,rigid,5
0,3,True,passage,rigid,passage,wooden,bomb,passage,rigid,passage,rigid,4
0,3,True,rigid,passage,passage,bomb,self,passage,passage,rigid,passage,1
0,3,True,passage,rigid,passage,rigid,self,passage,bomb,passage,passage,4
0,3,True,rigid,passage,passage,passage,self,rigid,passage,passage,passage,1
0,3,True,passage,wooden,rigid,rigid,self,passage,passage,passage,rigid,0
0,3,True,passage,wooden,rigid,rigid,self,passage,passage,passage,rigid,0
0,3,True,passage,wooden,rigid,rigid,self,passage,passage,passage,rigid,0
0,3,True,passage,wooden,rigid,rigid,self,passage,passage,passage,rigid,0
0,3,True,passage,wooden,rigid,rigid,self,passage,passage,passage,rigid,0
1,3,True,passage,wooden,rigid,rigid,self,passage,passage,passage,rigid,4
1,3,True,wooden,rigid,enemy,passage,self,passage,passage,rigid,passage,4
1,3,True,wooden,rigid,enemy,passage,self,passage,passage,rigid,passage,4
1,3,True,wooden,rigid,enemy,passage,self,passage,passage,rigid,passage,4
1,3,True,wooden,rigid,enemy,passage,self,passage,passage,rigid,passage,4
1,3,True,wooden,rigid,enemy,passage,self,passage,passage,rigid,passage,3
1,3,True,passage,wooden,rigid,rigid,self,passage,passage,passage,rigid,4
1,3,True,passage,wooden,rigid,rigid,self,passage,passage,passage,rigid,4
1,3,True,passage,wooden,rigid,rigid,self,passage,passage,passage,rigid,5
0,3,True,passage,wooden,rigid,rigid,bomb,passage,passage,passage,rigid,4
0,3,True,wooden,rigid,passage,bomb,self,passage,passage,rigid,passage,4
0,3,True,rigid,enemy,passage,passage,self,rigid,rigid,passage,passage,2
0,3,True,passage,passage,rigid,rigid,self,passage,passage,passage,passage,4
0,3,True,passage,rigid,outside,passage,self,outside,passage,passage,outside,2
0,3,True,passage,passage,outside,passage,self,outside,passage,rigid,outside,0
0,3,True,passage,passage,outside,passage,self,outside,passage,rigid,outside,1
0,3,True,passage,rigid,outside,passage,self,outside,passage,passage,outside,2
0,3,True,passage,passage,outside,passage,self,outside,passage,rigid,outside,1
1,3,True,flame,rigid,outside,passage,self,outside,passage,passage,outside,2
1,3,True,passage,passage,outside,passage,self,outside,passage,rigid,outside,1
1,3,True,flame,rigid,outside,passage,self,outside,passage,passage,outside,2
1,3,True,flame,passage,outside,passage,self,outside,passage,rigid,outside,3
1,3,True,rigid,flame,passage,enemy,self,passage,passage,passage,rigid,5
0,3,True,rigid,flame,passage,enemy,bomb,passage,passage,passage,rigid,2
0,3,True,bomb,bomb,passage,enemy,self,rigid,passage,passage,rigid,2
0,3,True,passage,passage,rigid,passage,self,rigid,rigid,rigid,passage,3
0,3,True,passage,enemy,passage,passage,self,passage,passage,rigid,rigid,1
0,3,True,passage,bomb,bomb,enemy,self,passage,passage,passage,passage,2
0,3,True,enemy,passage,passage,passage,self,passage,passage,rigid,rigid,3
0,3,True,rigid,bomb,enemy,passage,self,passage,passage,passage,rigid,3
0,3,True,passage,rigid,bomb,passage,self,passage,rigid,passage,passage,4
0,3,True,passage,rigid,bomb,passage,self,passage,rigid,passage,passage,4
1,3,True,rigid,bomb,flame,passage,self,flame,passage,passage,rigid,2
1,3,True,passage,passage,flame,passage,self,rigid,outside,outside,outside,3
1,3,True,passage,passage,passage,rigid,self,passage,outside,outside,outside,1
1,3,True,passage,rigid,bomb,passage,self,passage,rigid,passage,passage,3
1,3,True,rigid,passage,rigid,passage,self,passage,passage,rigid,passage,3
1,3,True,rigid,rigid,passage,passage,self,passage,passage,passage,rigid,3
1,3,True,rigid,rigid,rigid,passage,self,passage,rigid,passage,passage,3
1,3,True,passage,rigid,rigid,passage,self,passage,passage,rigid,passage,3
1,3,True,rigid,passage,rigid,passage,self,passage,rigid,passage,rigid,3
1,3,True,outside,rigid,passage,outside,self,passage,outside,rigid,passage,0
1,3,True,outside,rigid,passage,outside,self,passage,outside,rigid,passage,4
1,3,True,rigid,passage,rigid,passage,self,passage,rigid,passage,rigid,1
1,3,True,passage,passage,rigid,rigid,self,rigid,passage,passage,passage,1
1,3,True,passage,passage,passage,passage,self,rigid,rigid,passage,rigid,1
1,3,True,rigid,item,passage,passage,self,passage,passage,passage,rigid,1
2,3,True,rigid,passage,passage,rigid,self,passage,passage,passage,passage,4
2,3,True,passage,passage,passage,passage,self,rigid,passage,passage,passage,1
2,3,True,passage,passage,passage,passage,self,passage,passage,passage,rigid,4
2,3,True,passage,passage,passage,passage,self,passage,passage,rigid,rigid,1
2,3,True,passage,passage,enemy,passage,self,passage,passage,passage,passage,1
2,3,True,passage,passage,passage,passage,self,passage,passage,passage,passage,4
2,3,True,passage,passage,passage,passage,self,enemy,passage,passage,rigid,5
1,3,True,passage,passage,passage,passage,bomb,enemy,passage,passage,rigid,3
1,3,True,passage,passage,passage,passage,self,bomb,passage,passage,passage,1
1,3,True,passage,rigid,rigid,passage,self,passage,passage,passage,bomb,4
1,3,True,rigid,rigid,rigid,passage,self,passage,passage,bomb,bomb,4
1,3,True,rigid,rigid,passage,passage,self,passage,bomb,bomb,passage,4
1,3,True,rigid,enemy,passage,passage,self,passage,bomb,passage,rigid,5
0,3,True,rigid,enemy,passage,passage,bomb,passage,bomb,passage,rigid,4
0,3,True,passage,enemy,rigid,bomb,self,passage,passage,rigid,rigid,4
0,3,True,passage,rigid,passage,enemy,self,passage,rigid,rigid,passage,3
1,3,True,passage,enemy,rigid,bomb,self,passage,flame,rigid,rigid,4
1,3,True,enemy,rigid,passage,passage,self,passage,rigid,rigid,passage,4
1,3,True,rigid,passage,rigid,passage,self,passage,rigid,passage,rigid,3
1,3,True,rigid,passage,rigid,passage,self,passage,rigid,passage,rigid,1
1,3,True,outside,outside,outside,rigid,self,rigid,enemy,passage,passage,2
1,3,True,outside,outside,outside,rigid,self,rigid,enemy,passage,passage,0
2,3,True,outside,outside,outside,rigid,self,rigid,flame,enemy,passage,2
2,3,True,outside,outside,outside,rigid,self,rigid,flame,enemy,passage,2
2,3,True,outside,outside,outside,rigid,self,rigid,flame,bomb,passage,2
2,3,True,outside,outside,outside,rigid,self,rigid,passage,passage,passage,2
2,3,True,rigid,passage,rigid,passage,self,passage,rigid,passage,rigid,1
2,3,True,outside,outside,outside,rigid,self,rigid,passage,passage,passage,0
2,3,True,outside,outside,outside,rigid,self,rigid,passage,passage,passage,2
2,3,True,rigid,passage,rigid,passage,self,passage,rigid,passage,rigid,3
2,3,True,passage,rigid,passage,passage,self,passage,rigid,rigid,passage,3
2,3,True,passage,passage,rigid,passage,self,passage,passage,rigid,rigid,3
2,3,True,rigid,passage,passage,passage,self,passage,passage,passage,rigid,2
2,3,True,passage,passage,passage,passage,self,rigid,rigid,passage,item,2
2,3,True,passage,passage,rigid,rigid,self,item,rigid,passage,passage,4
2,4,True,passage,rigid,rigid,passage,self,rigid,passage,passage,rigid,3
2,4,True,passage,passage,rigid,rigid,self,passage,rigid,passage,passage,1
2,4,True,passage,enemy,passage,passage,self,rigid,rigid,passage,passage,5
1,4,True,passage,enemy,passage,passage,bomb,rigid,rigid,passage,passage,3
1,4,True,passage,passage,bomb,passage,self,bomb,passage,rigid,passage,3
1,4,True,passage,passage,passage,passage,self,passage,passage,passage,rigid,1
1,4,True,rigid,rigid,rigid,passage,self,passage,passage,passage,passage,3
1,4,True,passage,rigid,rigid,passage,self,passage,passage,passage,passage,3
1,4,True,rigid,passage,rigid,passage,self,passage,passage,passage,passage,1
1,4,True,outside,outside,outside,rigid,self,rigid,passage,passage,passage,0
1,4,True,outside,outside,outside,rigid,self,rigid,passage,passage,passage,2
1,4,True,rigid,passage,rigid,passage,self,passage,passage,passage,passage,3
2,4,True,passage,rigid,passage,rigid,self,passage,passage,passage,passage,2
2,4,True,rigid,passage,passage,passage,self,passage,rigid,passage,passage,4
2,4,True,passage,passage,passage,passage,self,flame,passage,passage,passage,2
2,4,True,passage,passage,passage,passage,self,passage,passage,passage,passage,4
2,4,True,passage,passage,passage,passage,self,passage,passage,passage,passage,1
2,4,True,passage,passage,passage,passage,self,passage,passage,passage,passage,1
2,4,True,passage,rigid,rigid,passage,self,passage,passage,passage,passage,4
2,4,True,rigid,rigid,rigid,passage,self,passage,passage,passage,passage,4
2,4,True,rigid,rigid,passage,passage,self,enemy,passage,passage,passage,5
1,4,True,rigid,rigid,passage,passage,bomb,enemy,passage,passage,passage,3
1,4,True,rigid,rigid,rigid,passage,self,bomb,passage,passage,passage,3
1,4,True,passage,rigid,rigid,passage,self,passage,passage,passage,passage,3
1,4,True,rigid,passage,rigid,passage,self,passage,passage,passage,passage,3
1,4,True,passage,rigid,passage,rigid,self,passage,passage,passage,passage,2
1,4,True,rigid,passage,passage,passage,self,passage,rigid,passage,passage,3
1,4,True,outside,rigid,passage,outside,self,passage,outside,rigid,passage,0
1,4,True,outside,rigid,passage,outside,self,passage,outside,rigid,passage,4
1,4,True,rigid,passage,passage,passage,self,passage,rigid,passage,passage,2
2,4,True,passage,passage,passage,rigid,self,passage,rigid,passage,passage,2
2,4,True,rigid,passage,passage,rigid,self,passage,rigid,passage,passage,2
2,4,True,rigid,passage,passage,rigid,self,passage,passage,passage,passage,4
2,4,True,passage,passage,passage,passage,self,rigid,passage,passage,passage,1
2,4,True,passage,passage,passage,passage,self,passage,passage,passage,rigid,4
2,4,True,passage,passage,passage,passage,self,passage,passage,rigid,rigid,4
2,4,True,passage,passage,rigid,passage,self,rigid,rigid,rigid,passage,1
2,4,True,passage,passage,passage,passage,self,rigid,passage,passage,rigid,1
2,4,True,passage,passage,passage,passage,self,rigid,passage,passage,rigid,1
2,4,True,passage,passage,passage,passage,self,rigid,passage,passage,rigid,1
2,4,True,enemy,passage,passage,passage,self,passage,passage,passage,rigid,4
2,4,True,enemy,passage,passage,passage,self,passage,passage,rigid,passage,1
2,4,True,rigid,rigid,passage,passage,self,passage,enemy,passage,passage,3
2,4,True,rigid,rigid,passage,passage,self,passage,enemy,passage,passage,3
2,4,True,rigid,rigid,passage,passage,self,passage,enemy,passage,passage,3
2,4,True,rigid,rigid,rigid,passage,self,passage,passage,passage,passage,2
2,4,True,rigid,rigid,rigid,passage,self,passage,passage,passage,passage,2
2,4,True,passage,passage,passage,passage,self,passage,passage,passage,rigid,3
2,4,True,passage,passage,passage,passage,self,passage,passage,passage,passage,2
2,4,True,passage,passage,passage,passage,self,passage,passage,passage,passage,1
2,4,True,passage,rigid,rigid,passage,self,passage,passage,passage,passage,2
2,4,True,passage,rigid,rigid,passage,self,passage,passage,passage,passage,2
2,4,True,passage,passage,passage,passage,self,passage,enemy,passage,passage,3
2,4,True,passage,passage,passage,passage,self,passage,enemy,passage,passage,2
2,4,True,passage,passage,passage,passage,self,passage,passage,passage,passage,3
2,4,True,passage,passage,passage,passage,self,passage,passage,passage,passage,3
2,4,True,passage,passage,passage,passage,self,passage,passage,passage,passage,2
2,4,True,passage,passage,passage,passage,self,passage,passage,rigid,rigid,4
2,4,True,passage,passage,rigid,passage,self,rigid,rigid,rigid,passage,1
2,4,True,passage,passage,passage,passage,self,rigid,passage,passage,rigid,0
2,4,True,passage,passage,passage,passage,self,rigid,passage,passage,rigid,1
2,4,True,passage,passage,passage,enemy,self,passage,passage,passage,rigid,5
1,4,True,passage,passage,passage,enemy,bomb,passage,passage,passage,rigid,4
1,4,True,passage,passage,passage,bomb,self,passage,passage,rigid,passage,1
1,4,True,rigid,rigid,passage,passage,self,passage,bomb,passage,passage,4
1,4,True,rigid,passage,passage,passage,self,passage,passage,passage,rigid,4
1,4,True,passage,passage,rigid,passage,self,passage,passage,rigid,rigid,4
1,4,True,passage,rigid,passage,passage,self,passage,rigid,rigid,passage,4
1,4,True,rigid,passage,rigid,passage,self,passage,rigid,passage,rigid,1
1,4,True,outside,outside,outside,rigid,self,rigid,passage,passage,passage,0
1,4,True,outside,outside,outside,rigid,self,rigid,passage,passage,passage,2
2,4,True,rigid,passage,rigid,passage,self,passage,rigid,passage,rigid,4
2,4,True,passage,rigid,outside,passage,self,outside,passage,rigid,outside,0
2,4,True,passage,rigid,outside,passage,self,outside,passage,rigid,outside,3
2,4,True,rigid,passage,rigid,passage,self,passage,rigid,passage,rigid,3
2,4,True,passage,rigid,passage,passage,self,passage,rigid,rigid,passage,3
2,4,True,passage,passage,rigid,passage,self,passage,passage,rigid,rigid,3
2,4,True,rigid,passage,passage,passage,self,passage,passage,passage,rigid,2
2,4,True,passage,passage,passage,passage,self,rigid,rigid,passage,passage,3
2,4,True,passage,passage,passage,passage,self,passage,passage,rigid,passage,1
2,4,True,rigid,rigid,passage,passage,self,passage,passage,passage,passage,3
2,4,True,rigid,rigid,rigid,passage,self,passage,passage,passage,passage,3
2,4,True,passage,rigid,rigid,passage,self,passage,passage,passage,passage,2
2,4,True,passage,passage,passage,passage,self,passage,passage,passage,passage,2
2,4,True,passage,passage,passage,passage,self,passage,passage,passage,passage,3
2,4,True,passage,passage,passage,passage,self,passage,passage,passage,passage,3
2,4,True,passage,passage,passage,rigid,self,passage,rigid,passage,passage,2
2,4,True,rigid,passage,passage,rigid,self,passage,rigid,passage,passage,2
2,4,True,rigid,passage,passage,rigid,self,passage,passage,passage,passage,4
2,4,True,passage,passage,passage,passage,self,rigid,passage,passage,passage,1
2,4,True,passage,passage,passage,passage,self,passage,passage,passage,rigid,4
2,4,True,passage,passage,passage,passage,self,passage,passage,rigid,rigid,4
2,4,True,passage,passage,rigid,passage,self,rigid,rigid,rigid,passage,1
2,4,True,passage,passage,passage,passage,self,rigid,passage,passage,rigid,3
2,4,True,passage,passage,passage,passage,self,passage,passage,passage,passage,1
2,4,True,passage,passage,passage,passage,self,passage,passage,passage,passage,4
2,4,True,passage,passage,passage,passage,self,passage,passage,passage,rigid,1
2,4,True,rigid,rigid,rigid,passage,self,passage,passage,passage,passage,3
2,4,True,passage,rigid,rigid,passage,self,passage,passage,passage,passage,3
2,4,True,rigid,passage,rigid,passage,self,passage,passage,passage,passage,3
2,4,True,passage,rigid,passage,rigid,self,passage,passage,passage,passage,2
2,4,True,rigid,passage,passage,passage,self,passage,rigid,passage,passage,2
2,4,True,passage,passage,passage,rigid,self,passage,rigid,passage,passage,2
2,4,True,rigid,passage,passage,rigid,self,passage,rigid,passage,passage,2
2,4,True,rigid,passage,passage,rigid,self,passage,passage,passage,passage,2
2,4,True,rigid,passage,passage,passage,self,passage,passage,passage,rigid,2
2,4,True,passage,passage,passage,passage,self,rigid,rigid,passage,rigid,2
2,4,True,passage,passage,rigid,rigid,self,rigid,passage,passage,passage,2
2,4,True,rigid,passage,rigid,passage,self,passage,rigid,passage,rigid,2
2,4,True,passage,passage,passage,rigid,self,rigid,outside,outside,outside,0
2,4,True,passage,passage,passage,rigid,self,rigid,outside,outside,outside,1
2,4,True,rigid,passage,rigid,passage,self,passage,rigid,passage,rigid,4
2,4,True,passage,rigid,rigid,passage,self,passage,passage,rigid,passage,4
2,4,True,rigid,rigid,rigid,passage,self,passage,rigid,passage,passage,4
2,4,True,rigid,rigid,passage,passage,self,passage,passage,passage,rigid,2
2,4,True,passage,passage,passage,passage,self,rigid,outside,outside,outside,3
2,4,True,passage,passage,passage,rigid,self,passage,outside,outside,outside,0
2,4,True,passage,passage,passage,rigid,self,passage,outside,outside,outside,4
2,4,True,passage,passage,passage,passage,self,rigid,outside,outside,outside,1
2,4,True,rigid,rigid,passage,passage,self,passage,passage,passage,rigid,4
2,4,True,rigid,passage,rigid,passage,self,passage,passage,rigid,passage,1
2,4,True,passage,passage,passage,rigid,self,rigid,passage,passage,passage,1
2,4,True,passage,rigid,passage,passage,self,passage,rigid,passage,rigid,4
2,4,True,rigid,passage,passage,passage,self,passage,passage,rigid,passage,1
2,4,True,passage,rigid,passage,rigid,self,passage,passage,passage,passage,4
2,4,True,rigid,passage,passage,passage,self,rigid,passage,passage,passage,1
2,4,True,passage,passage,rigid,rigid,self,passage,passage,passage,rigid,1
2,4,True,passage,passage,rigid,passage,self,rigid,rigid,passage,passage,3
2,4,True,rigid,passage,passage,rigid,self,passage,passage,rigid,passage,1
2,4,True,passage,passage,rigid,rigid,self,passage,rigid,passage,passage,1
2,4,True,passage,passage,passage,passage,self,rigid,rigid,passage,passage,3
2,4,True,passage,passage,passage,passage,self,passage,passage,rigid,passage,3
2,4,True,passage,passage,passage,passage,self,passage,passage,enemy,rigid,5
1,4,True,passage,passage,passage,passage,bomb,passage,passage,enemy,rigid,4
1,4,True,passage,passage,passage,bomb,self,passage,bomb,rigid,passage,1
1,4,True,rigid,rigid,passage,passage,self,passage,bomb,passage,passage,4
1,4,True,rigid,passage,passage,passage,self,passage,passage,passage,rigid,1
1,4,True,outside,outside,outside,rigid,self,passage,passage,passage,passage,4
1,4,True,outside,outside,outside,passage,self,rigid,passage,passage,passage,2
1,4,True,passage,passage,rigid,passage,self,passage,passage,rigid,rigid,4
1,4,True,passage,rigid,passage,passage,self,passage,rigid,rigid,passage,4
1,4,True,rigid,passage,rigid,passage,self,passage,rigid,passage,rigid,1
2,4,True,outside,outside,outside,rigid,self,rigid,passage,passage,passage,0
2,4,True,outside,outside,outside,rigid,self,rigid,passage,passage,passage,2
2,4,True,rigid,passage,rigid,passage,self,passage,rigid,passage,rigid,4
2,4,True,passage,rigid,outside,passage,self,outside,passage,rigid,outside,0
2,4,True,passage,rigid,outside,passage,self,outside,passage,rigid,outside,3
2,4,True,rigid,passage,rigid,passage,self,passage,rigid,passage,rigid,3
2,4,True,passage,rigid,passage,passage,self,passage,rigid,rigid,passage,3
2,4,True,passage,passage,rigid,passage,self,passage,passage,rigid,rigid,3
2,4,True,rigid,passage,passage,passage,self,passage,passage,passage,rigid,3
2,4,True,rigid,rigid,passage,passage,self,passage,passage,passage,passage,2
2,4,True,passage,passage,passage,passage,self,passage,passage,rigid,passage,3
2,4,True,passage,passage,passage,passage,self,passage,passage,passage,rigid,2
2,4,True,passage,passage,passage,passage,self,rigid,passage,passage,rigid,2
2,4,True,passage,passage,rigid,passage,self,rigid,rigid,rigid,passage,3
2,4,True,passage,passage,passage,passage,self,passage,passage,rigid,rigid,1
2,4,True,passage,passage,passage,passage,self,passage,passage,passage,passage,3
2,4,True,passage,passage,passage,passage,self,passage,passage,passage,passage,2
2,4,True,passage,passage,passage,passage,self,passage,passage,passage,rigid,2
2,4,True,passage,passage,passage,passage,self,rigid,passage,passage,passage,3
2,4,True,rigid,passage,passage,rigid,self,passage,passage,passage,passage,2
2,4,True,rigid,passage,passage,passage,self,passage,passage,passage,rigid,4
2,4,True,passage,passage,rigid,passage,self,passage,passage,rigid,passage,4
2,4,True,passage,rigid,rigid,passage,self,passage,rigid,passage,passage,4
2,4,True,rigid,rigid,passage,passage,self,rigid,passage,passage,passage,2
2,4,True,passage,passage,rigid,passage,self,passage,rigid,rigid,passage,4
2,4,True,passage,rigid,passage,passage,self,passage,rigid,passage,rigid,2
2,4,True,passage,passage,passage,rigid,self,rigid,passage,passage,passage,2
2,4,True,rigid,passage,rigid,passage,self,passage,passage,rigid,passage,3
2,4,True,rigid,rigid,passage,passage,self,passage,passage,passage,rigid,2
2,4,True,passage,passage,passage,passage,self,rigid,outside,outside,outside,3
2,4,True,passage,passage,passage,rigid,self,passage,outside,outside,outside,1
2,4,True,rigid,rigid,rigid,passage,self,passage,rigid,passage,passage,3
2,4,True,passage,rigid,rigid,passage,self,passage,passage,rigid,passage,3
2,4,True,rigid,passage,rigid,passage,self,passage,rigid,passage,rigid,3
2,4,True,outside,rigid,passage,outside,self,passage,outside,rigid,passage,0
2,4,True,outside,rigid,passage,outside,self,passage,outside,rigid,passage,4
2,4,True,rigid,passage,rigid,passage,self,passage,rigid,passage,rigid,1
2,4,True,passage,passage,rigid,rigid,self,rigid,passage,passage,passage,1
2,4,True,passage,passage,passage,passage,self,rigid,rigid,passage,rigid,1
2,4,True,rigid,passage,passage,passage,self,passage,passage,passage,rigid,3
2,4,True,outside,rigid,passage,outside,self,passage,outside,passage,passage,2
2,4,True,outside,passage,passage,outside,self,passage,outside,rigid,passage,0
2,4,True,outside,passage,passage,outside,self,passage,outside,rigid,passage,1
2,4,True,outside,rigid,passage,outside,self,passage,outside,passage,passage,4
2,4,True,rigid,passage,passage,passage,self,passage,passage,passage,rigid,4
2,4,True,passage,passage,rigid,passage,self,passage,passage,rigid,passage,1
2,4,True,passage,passage,passage,passage,self,rigid,passage,passage,passage,1
2,4,True,passage,passage,passage,passage,self,passage,passage,passage,rigid,3
2,4,True,rigid,passage,passage,rigid,self,passage,rigid,passage,passage,1
2,4,True,passage,passage,passage,rigid,self,passage,rigid,passage,passage,4
2,4,True,passage,passage,passage,passage,self,passage,passage,passage,passage,4
2,4,True,passage,passage,passage,passage,self,passage,passage,passage,passage,2
2,4,True,passage,passage,passage,passage,self,passage,passage,rigid,rigid,4
2,4,True,passage,passage,rigid,passage,self,rigid,rigid,rigid,passage,1
2,4,True,passage,passage,passage,passage,self,rigid,passage,passage,rigid,1
2,4,True,passage,passage,passage,passage,self,passage,passage,passage,rigid,3
2,4,True,passage,passage,passage,passage,self,passage,passage,passage,passage,3
